"","network","region","country","latitude","longitude","reference"
"92",92,"Lowland South America","Brazil",-23.17,-44.92,"Buzato et al. (2000) Biotropica, 32, 824-841"
"93",93,"Caribbean","British_Virgin_Islands",18.73,-64.32,"Own unpublished data"
"94",94,"Caribbean","Hispaniola",19.11,-70.55,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"95",95,"Caribbean","Antigua",17.055,-61.86,"Own unpublished data"
"96",96,"Caribbean","Dominica",15.34,-61.31,"Own unpublished data"
"97",97,"Caribbean","Grenada",12.09,-61.68,"Own unpublished data"
"98",98,"Caribbean","Guadeloupe",16.17,-61.69,"Own unpublished data"
"99",99,"Caribbean","Martinique",14.81,-61.18,"Own unpublished data"
"100",100,"Caribbean","Nevis",17.15,-62.58,"Own unpublished data"
"101",101,"Caribbean","St._Kitts",17.36,-62.82,"Own unpublished data"
"102",102,"Caribbean","Saba",17.63,-63.24,"Own unpublished data"
"103",103,"Caribbean","St._Eustatius",17.49,-62.97,"Own unpublished data"
"104",104,"Caribbean","St._Lucia",13.83,-60.92,"Own unpublished data"
"105",105,"Lowland South America","Trinidad",10.44,-61.24,"Own unpublished data"
"106",106,"Lowland South America","Tobago",11.28,-60.62,"Own unpublished data"
