"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"199","Rubiaceae","Faramea eurycarpa","22",7,NA,"Blue","1","","Faramea eurycarpa"
"200","Cucurbitaceae","Gurania bignoniacea","22",20,NA,"Orange/Yellow","2","","Gurania coccinea"
"201","Bromeliaceae","Guzmania nicaraguensis","22",58.5,10.25,"Red/Yellow","2","","Guzmania nicaraguensis"
"202","Heliconiaceae","Heliconia atropurpurea","22",60,NA,"Red/White","2","","Heliconia atropurpurea"
"203","Heliconiaceae","Heliconia vaginalis","22",60.75,21.33,"Red/Yellow","2","","Heliconia vaginalis"
"204","Rubiaceae","Hillia triflora","22",59,NA,"Red","3","","Hillia triflora"
"205","Rubiaceae","Palicourea gomezii","22",13.2,19.22,"White","1","","Palicourea gomezii"
"207","Bromeliaceae","Pitcairnia brittoniana","22",20.7,NA,"Red","3","","Pitcairnia brittoniana"
"208","Ericaceae","Psammisia ramiflora","22",35,NA,"Red","3","","Psammisia ramiflora"
"209","Ericaceae","Satyria meiantha","22",26.5,25,"Red","3","","Satyria meiantha"
"210","Ericaceae","Thibaudia costaricensis","22",11,NA,"Pink/White","1","","Thibaudia costaricensis"
"211","Alstroemeriaceae","Bomarea hirsuta","23",51,NA,"Red","3","","Bomarea hirsuta"
"212","Campanulaceae","Burmeistera parviflora","23",18.5,NA,"Yellow","1","","Burmeistera parviflora"
"213","Gesneriaceae","Columnea magnifica","23",74,23.7,"Red","3","","Columnea magnifica"
"214","Gesneriaceae","Columnea microcalyx","23",45,13.5,"Red","3","","Columnea microcalyx"
"215","Ericaceae","Disterigma humboldtii","23",10.35,23.6,"Red","3","","Disterigma humboldtii"
"216","Ericaceae","Gaultheria gracilis","23",11.3,26.77,"Red","3","","Gaultheria gracilis"
"217","Ericaceae","Gonocalyx pterocarpus","23",20.67,17.77,"Red","3","","Gonocalyx pterocarpus"
"218","Heliconiaceae","Heliconia lankesteri","23",50,10.81,"Red/Yellow","2","","Heliconia lankesteri"
"219","Rubiaceae","Hoffmannia arborescens","23",13.5,NA,"Red/Yellow","2","","Hoffmannia arborescens"
"220","Gesneriaceae","Kohleria tigridia","23",64.6,NA,"Purple/White","1","","Kohleria tigridia"
"221","Malvaceae","Malvaviscus palmanus","23",56.2,NA,"Red","3","","Malvaviscus palmanus"
"222","Asteraceae","Neomirandea eximia","23",5,NA,"Pink","2","","Neomirandea eximia"
"223","Ericaceae","Vaccinium poasanum","23",12.5,NA,"Green","1","","Vaccinium poasanum"
"227","Tropaeolaceae","Tropaeolum moritzianum","24",17,NA,"Orange/Yellow","2","","Tropaeolum moritzianum"
"230","Alstroemeriaceae","Bomarea costaricensis","25",28.2,NA,"Vermillion/Scarlet","3","","Bomarea costaricensis"
"241","Fabaceae","Calliandra purdiei","26",19,NA,"Pink/White","2","","Calliandra purdiaei"
"245","Apocynaceae","Mandevilla mollissima","26",25,37.8,"Green/White","1","","Mandevilla mollissima"
"246","Ericaceae","Psammisia penduliflora","26",15,15,"Red","3","","Psammisia penduliflora"
"248","Campanulaceae","Burmeistera pennellii","27",30,10,"Green","1","","Burmeistera globosa"
"249","Ericaceae","Cavendishia guatapeensis","27",10,19,"Red","3","","Cavendishia guatapeensis"
"250","Melastomataceae","Chalybea minor","27",NA,13.4,"Red","3","","Huilaea minor"
"253","Orchidaceae","Elleanthus smithii","27",11,14.8,"Cream/Pink","1","","Elleanthus smithii"
"256","Rubiaceae","Palicourea vagans","27",9,23,"White/Yellow","1","","Palicourea vagans"
"259","Ericaceae","Psammisia falcata","27",29,14.3,"Orange","3","","Psammisia falcata"
"260","Ericaceae","Thibaudia rigidiflora","27",21,17.6,"Orange/Pink","2","","Thibaudia rigidiflora"
"261","Bromeliaceae","Tillandsia turneri","27",36,19.3,"Yellow/Red","2","","Tillandsia turneri"
"262","Bignoniaceae","Handroanthus chrysanthus","28",43.2,30.1,"Yellow","1","","Handroanthus chrysanthus"
"263","Orobanchaceae","Castilleja fissifolia","29",19,18.7,"Green/Red","2","","Castilleja fissifolia"
"265","Lythraceae","Cuphea dipetala","29",18,33,"Mauve","1","","Cuphea dipetala"
"266","Rubiaceae","Manettia coccocypseloides","29",12,NA,"White","1","","Manettia coccocypseloides"
"267","Rubiaceae","Palicourea anacardiifolia","29",13,NA,"Yellow","1","","Palicourea anacardiifolia"
"268","Rubiaceae","Palicourea aschersonianoides","29",6,NA,"White","1","","Palicourea aschersonianoides"
"270","Campanulaceae","Siphocampylus bogotensis","29",55,21,"Red","3","","Siphocampylus bogotensis"
"271","Gentianaceae","Symbolanthus anomalus","29",36,19,"Pink","2","","Symbolanthus tricolor"
"273","Campanulaceae","Centropogon latisepalus","30",38.9,28.6,"Red","3","","Centropogon latisepalus"
"276","Fabaceae","Erythrina rubrinervia","30",42.9,22.2,"Red","3","","Erythrina rubrinervia"
"278","Acanthaceae","Trichanthera gigantea","30",14.5,18.4,"Yellow","1","","Trichanthera gigantea"
"280","Campanulaceae","Burmeistera ceratocarpa","31",23.13,NA,NA,NA,"","Burmeistera ceratocarpa"
"281","Campanulaceae","Burmeistera killipii","31",17.3,NA,NA,NA,"","Burmeistera killipii"
"283","Ericaceae","Disterigma alaternoides","31",0.8,NA,"Pink","2","","Disterigma alaternoides"
"284","Ericaceae","Disterigma cryptocalyx","31",NA,NA,"White","1","","Disterigma cryptocalyx"
"285","Ericaceae","Gaultheria foliolosa","31",NA,NA,"White","1","","Gaultheria foliolosa"
"286","Bromeliaceae","Guzmania andreana","31",NA,NA,"Red/White","2","","Guzmania andreana"
"287","Bromeliaceae","Guzmania gracilior","31",11.87,NA,"Pink","2","","Guzmania gracilior"
"289","Melastomataceae","Miconia micayana","31",NA,NA,"Pink","2","","Miconia micayana"
"290","Melastomataceae","Miconia stipularis","31",NA,NA,"Yellow","1","","Miconia stipularis"
"292","Bromeliaceae","Pitcairnia exserta","31",NA,NA,"Red","3","","Pitcairnia exserta"
"293","Ericaceae","Psammisia columbiensis","31",28.5,17.9,"Red","3","","Psammisia columbiensis"
"297","Ericaceae","Anthopterus oliganthus","32",NA,NA,"Red/Green","2","","Antopterus oliganthus"
"298","Clusiaceae","Clusia coremandra","32",NA,NA,"White","1","","Clusia coremandra"
"300","Ericaceae","Disterigma noyesiae","32",NA,NA,"White","1","","Disterigma noyesiae"
"302","Rubiaceae","Palicourea killipii","32",17.3,NA,"Purple","1","","Palicourea killipii"
"306","Ericaceae","Psammisia dolichopoda","32",0.8,NA,"Yellow","1","","Psammisia dolichopoda"
"308","Ericaceae","Themistoclesia dependens","32",NA,NA,"White/Green","1","","Themistoclesia dependens"
"310","Asteraceae","Barnadesia spinosa","33",16.4,15,"White/Pink","1","","Barnadesia spinosa"
"311","Alstroemeriaceae","Bomarea linifolia","33",8.79,17,"Red/Yellow","2","","Bomarea linifolia"
"313","Melastomataceae","Brachyotum ledifolium","33",15.5,11,"White","1","","Brachyotum ledifolium"
"314","Melastomataceae","Brachyotum lindenii","33",18.5,14,"Purple","1","","Brachyotum lindenii"
"318","Ericaceae","Disterigma codonanthum","33",5.91,15,"Green/White","1","","Disterigma codonanthum"
"322","Onagraceae","Fuchsia corollata","33",34.9,18,"Red","3","","Fuchsia corollata"
"323","Ericaceae","Gaultheria myrsinoides","33",4.88,9.6,"White","1","","Gaultheria myrsinoides"
"324","Bromeliaceae","Guzmania bakeri","33",19.7,13,"Yellow","1","","Guzmania bakeri"
"325","Bromeliaceae","Guzmania candelabrum","33",17.1,16,"White","1","","Guzmania candelabrum"
"326","Bromeliaceae","Puya clava-herculis","33",31.1,12,"Blue","1","","Puya clava-herculis"
"327","Bromeliaceae","Racinaea tetrantha","33",11.3,17,"Yellow","1","","Tillandsia tetrantha"
"328","Campanulaceae","Siphocampylus giganteus","33",47,NA,"White/Pink","1","","Siphocampylus giganteus"
"329","Campanulaceae","Siphocampylus paramicola","33",27.6,13,"White/Pink","1","","Siphocampylus paramicola"
"330","Bromeliaceae","Tillandsia orbicularis","33",22.8,20,"Purple ","1","","Tillandsia orbicularis"
"331","Bromeliaceae","Aechmea chantinii","34",21.7,23.8,"White-yellow flowers / red bracts","2","","Aechmea chantinii"
"332","Bromeliaceae","Aechmea corymbosa","34",28.3,28.4,"Rose flowers / red bracts","2","","Aechmea corymbosa"
"333","Bromeliaceae","Aechmea rubiginosa","34",29,NA,"Yellow/Red","2","","Aechmea rubiginosa"
"334","Acanthaceae","Aphelandra macrostachya","34",34.4,24.6,"Red","3","","Aphelandra macrostachya"
"335","Bromeliaceae","Billbergia decora","34",16.91,32.83,"Green flowers / rose bracts","1","","Billbergia decora"
"337","Gesneriaceae","Columnea ericae","34",23.2,26.3,"Yellow/Red","2","","Columnea ericae"
"338","Rutaceae","Decagonocarpus cornutus","34",16.6,23.1,"Red","3","","Decagonocarpus cornutus"
"339","Rubiaceae","Ferdinandusa sprucei","34",24.7,4.9,"White","1","","Ferdinandusa sprucei"
"340","Marantaceae","Goeppertia zingiberina","34",30.7,24.5,"Yellow","1","","Calathea zingiberina"
