"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"728","Bromeliaceae","Vriesea platynema","68",27.8,20.94,"Yellow/Red","2","","Vriesea platynema"
"729","Bromeliaceae","Nidularium antoineanum","69",37,31,"Red/Blue-violet","2","","Nidularium antoineanum"
"730","Malvaceae","Pachira calophylla","69",NA,10.6,"White","1","","Pachira calophylla"
"731","Malvaceae","Pseudobombax grandiflorum","69",NA,12.3,"White","1","","Pseudobombax grandiflorum"
"732","Rubiaceae","Psychotria carthagenensis","69",NA,15.5,"White","1","","Psychotria carthagenensis"
"733","Bromeliaceae","Quesnelia testudo","69",38,28,"Pink/Blue-violet","1","","Quesnelia testudo"
"734","Bignoniaceae","Handroanthus umbellatus","70",42.6,NA,"Yellow","1","","Handroanthus umbellatus"
"735","Rubiaceae","Manettia luteorubra","70",25.05,NA,"Red with small yellow tip","3","","Manettia luteorubra"
"736","Gesneriaceae","Nematanthus tessmannii","70",25.07,NA,"White/Cream","1","","Nematanthus tessmannii"
"742","Bromeliaceae","Aechmea recurvata","74",10.1,NA,"Red/Pink","2","","Aechmea recurvata"
"743","Fabaceae","Calliandra selloi","74",2.5,NA,"White/Pink","1","","Calliandra brevipes"
"744","Fabaceae","Calliandra tweediei","74",4.2,NA,"Red","3","","Calliandra tweedii"
"745","Fabaceae","Erythrina crista-galli","74",9.5,NA,"Red","3","","Erythrina crista-galli"
"746","Malvaceae","Luehea divaricata","74",4.9,NA,"Pink/Yellow","1","","Luehea divaricata"
"747","Bromeliaceae","Tillandsia aeranthos","74",12.6,NA,"Pink/Purple","1","","Tillandsia aeranthos"
"748","Tropaeolaceae","Tropaeolum pentaphyllum","74",12.9,NA,"Red","3","","Tropaeolum pentaphylum"
"749","Gesneriaceae","Besleria aggregata","75",14.73,NA,"Yellow/Orange","2","","Besleria aggregata"
"750","Gesneriaceae","Besleria amabilis","75",13.1,NA,"Orange","3","","Besleria formosa"
"752","Marantaceae","Goeppertia standleyi","75",34.37,NA,"White","1","","Calathea standleyi"
"753","Heliconiaceae","Heliconia orthotricha","75",45.62,NA,"Red","3","","Heliconia ortotricha"
"754","Rubiaceae","Hippotis brevipes","75",32.23,NA,"White","1","","Hippotis brevipes"
"757","Loranthaceae","Aetanthus nodosus","76",71.44,15.5,"Yellow/Orange","2","","Aetanthus nodosus"
"758","Gesneriaceae","Alloplectus hispidus","76",24.28,NA,"Yellow","1","","Alloplectus hispidus"
"760","Alstroemeriaceae","Bomarea distichifolia","76",14.23,NA,"Orange","3","","Bomarea distichifolia"
"761","Melastomataceae","Brachyotum andreanum","76",15.21,NA,"Pink/Purple","1","","Brachyotum andreanum"
"762","Campanulaceae","Centropogon comosus","76",43.27,NA,"Yellow/Orange","2","","Centropogon comosus"
"763","Campanulaceae","Centropogon erythraeus","76",29.93,NA,"Orange","3","","Centropogon erythraeus"
"764","Ericaceae","Ceratostema loranthiflorum","76",19.92,NA,"Red/White","2","","Ceratostema loranthiflorum"
"766","Ericaceae","Disterigma pentandrum","76",9.5,NA,"Pink","2","","Disterigma pentandrum"
"767","Solanaceae","Markea longiflora","76",51.1,NA,"Green/White","1","","Markea longiflora"
"768","Rubiaceae","Palicourea azurea","76",15.06,16.5,"Yellow","1","","Palicourea azurea"
"769","Rubiaceae","Palicourea lyristipula","76",6.93,NA,"White","1","","Palicourea lyristipula"
"770","Rubiaceae","Palicourea weberbaueri","76",5.53,NA,"Yellow/Blue","1","","Palicourea weberbaueri"
"772","Gesneriaceae","Drymonia urceolata","77",35.86,NA,"Yellow","1","","Drymonia urceolata"
"773","Ericaceae","Macleania floribunda","77",17.91,NA,"Pink","2","","Macleania floribunda"
"775","Ericaceae","Orthaea abbreviata","77",36.43,NA,"Pink","2","","Orthaea abbreviata"
"776","Rubiaceae","Palicourea luteonivea","77",9.8,16.31,"White","1","","Palicourea luteonivea"
"777","Rubiaceae","Palicourea stenosepala","77",18.89,NA,"Yellow","1","","Palicourea stenosepala"
"778","Rubiaceae","Palicourea canarina","77",20.03,NA,"Yellow","1","","Palicourea canarina"
"780","Campanulaceae","Siphocampylus scandens","77",28.67,NA,"Purple","1","","Siphocampylus scandens"
"781","Alstroemeriaceae","Bomarea brevis","78",17.17,9.48,"Red","3","","Bomarea brevis"
"782","Alstroemeriaceae","Bomarea setacea","78",19.63,0.5,"Red","3","","Bomarea setacea"
"783","Melastomataceae","Brachyotum lutescens","78",13.36,7.74,"Green","1","","Brachyotum lutescens"
"784","Melastomataceae","Brachyotum naudinii","78",15.93,NA,NA,NA,"","Brachyotum naudinii"
"785","Campanulaceae","Centropogon isabellinus","78",23.72,9,"Red","3","","Centropogon isahellinus"
"787","Onagraceae","Fuchsia decussata","78",55.38,8.01,"Red","3","","Fuchsia decussata"
"788","Ericaceae","Gaultheria bracteata","78",6.71,NA,"Purple","1","","Gaultheria bracteata"
"789","Gentianaceae","Gentianella fruticulosa","78",8.37,1.75,"Red","3","","Gentianella fruticulosa"
"790","Gentianaceae","Gentianella violacea","78",12.76,NA,"Violet","1","","Gentianella violacea"
"791","Bromeliaceae","Greigia macbrideana","78",30.63,NA,"White","1","","Greigia macbrideana"
"792","Melastomataceae","Meriania radula","78",6.76,NA,"Red","3","","Meriania radula"
"793","Melastomataceae","Miconia alpina","78",3.35,NA,"White","1","","Miconia alpina"
"794","Polygalaceae","Monnina salicifolia","78",3.13,NA,"Purple","1","","Monnina salicifolia"
"795","Ericaceae","Pellegrinia hirsuta","78",17.18,NA,"Red","3","","Pellegrinia hirsuta"
"796","Bromeliaceae","Puya pseudoeryngioides","78",50,9.04,"White","1","","Puya pseudoeryngioides"
"797","Grossulariaceae","Ribes incarnatum","78",7.38,NA,"Red","3","","Ribes incarnatum"
"799","Solanaceae","Saracha punctata","78",20.54,NA,"Purple","1","","Saracha punctata"
"800","Tropaeolaceae","Tropaeolum bicolor","78",54.6,NA,"Red","3","","Tropaeolum bicolor"
"801","Asparagaceae","Agave salmiana","79",17.92,NA,"Yellow","2","","Agave salmiana"
"802","Fabaceae","Erythrina americana","79",37.38,NA,"Red","3","","Erythrina coralloides"
"803","Gesneriaceae","Glossoloma purpureum","81",38.96,16.28,NA,NA,"","Glossoloma purpureum"
"805","Heliconiaceae","Heliconia virginalis","81",16,18.54,"Red/White","2","","Heliconia virginalis"
"806","Lamiaceae","Salvia quitensis","81",19.21,16,"Purple","1","","Salvia quitensis"
"809","Campanulaceae","Centropogon preslii","82",14.11,10.75,"Orange/Yellow","2","","Centropogon preslii"
"810","Gesneriaceae","Drymonia brochidodroma","82",NA,NA,"White","1","","Drymonia brochidodroma"
"811","Gesneriaceae","Drymonia collegarum","82",NA,NA,"Pink/red","2","","Drymonia collegarum"
"812","Gesneriaceae","Gasteranthus lateralis","82",18,NA,"Orange","3","","Gasteranthus lateralis"
"813","Gesneriaceae","Glossoloma oblongicalyx","82",42.17,12.34,"Red","3","","Glossoloma oblongicalyx"
"816","Ericaceae","Macleania bullata","82",37.35,NA,"Red","3","","Macleania bullata"
"817","Ericaceae","Macleania stricta","82",16.79,16.44,"Red","3","","Macleania stricta"
"819","Rubiaceae","Palicourea lineata","82",12.58,14.24,"White/Blue/Violet","1","","Palicourea lineata"
"820","Bromeliaceae","Pitcairnia sodiroi","82",39.39,14,"Orange","3","","Pitcairnia sodiroi"
"824","Gesneriaceae","Besleria riparia","83",17.9,NA,"Orange","3","","Besleria riparia"
"825","Alstroemeriaceae","Bomarea patinii","83",66.2,28.6,"Red","3","","Bomarea patinii"
"826","Ericaceae","Cavendishia nitida","83",24.8,NA,"White/Red","2","","Cavendishia nitida"
"828","Campanulaceae","Centropogon curvatus","83",53.8,23.8,"Red","3","","Centropogon curvatus"
"829","Campanulaceae","Centropogon ferrugineus","83",59.5,28.6,"Red","3","","Centropogon ferrugineus"
"831","Onagraceae","Fuchsia venusta","83",33.1,NA,"Red","3","","Fuchsia venusta"
"832","Gesneriaceae","Gasteranthus calcaratus","83",24.3,NA,"Orange","3","","Gasteranthus calcaratus"
"833","Gesneriaceae","Glossoloma baguense","83",38.5,NA,"Red","3","","Glossoloma baguense"
"834","Gesneriaceae","Glossoloma ichthyoderma","83",32.1,NA,"Yellow/Red","2","","Glossoloma ichthyoderma"
"835","Gesneriaceae","Glossoloma schultzei","83",57.2,NA,"Red","3","","Glossoloma schultzei"
"836","Bromeliaceae","Guzmania multiflora","83",15.1,NA,"Yellow/Red","2","","Guzmania multiflora"
"838","Solanaceae","Iochroma gesnerioides","83",41.9,NA,"Red","3","","Iochroma gesnerioides"
"839","Gesneriaceae","Kohleria trianae","83",44.3,NA,"Red","3","","Kohleria trianae"
"840","Gesneriaceae","Kohleria warszewiczii","83",52.3,NA,"Pink","2","","Kohleria warszewiczii"
"841","Rubiaceae","Palicourea ovalis","83",15.5,NA,"Red","3","","Palicourea ovalis"
"843","Gesneriaceae","Reldia grandiflora","83",24.6,NA,"Orange","3","","Reldia grandiflora"
"844","Lamiaceae","Salvia scutellarioides","83",11.9,NA,"Blue","1","","Salvia scutellarioides"
"846","Acanthaceae","Stenostephanus sanguineus","83",33.9,NA,"Pink","2","","Stenostephanus sanguineus"
"847","Ericaceae","Thibaudia floribunda","83",15,NA,"Pink/Red, Pink/Red/Purple","2, 2","","Thibaudia floribunda"
"848","Bromeliaceae","Tillandsia tequendamae","83",33.1,NA,"Green/Red","2","","Vriesea tequendamae"
"850","Costaceae","Dimerocostus strobilaceus","84",39.2,NA,"White","1","","Dimerocostus strobilaceus"
"851","Heliconiaceae","Heliconia episcopalis","84",NA,NA,"Pale green/Red","2","","Heliconia episcopalis"
"852","Heliconiaceae","Heliconia mutisiana","84",NA,NA,"Yellow/Red","2","","Heliconia mutisiana"
"853","Fabaceae","Inga sapindoides","84",NA,NA,"White","1","","Inga sapindoides"
"854","Marantaceae","Stromanthe jacquinii","84",NA,NA,"Yellow","1","","Stromanthe jacquinii"
"856","Bromeliaceae","Aechmea phanerophlebia","85",21.05,NA,"Pink with tiny purple flowers ","2","","Aechmea phanerophlebia"
"857","Asteraceae","Aspilia foliosa","85",7.07,39.37,"Yellow","1","","Aspilia foliosa"
"858","Velloziaceae","Barbacenia gardneri","85",58.7,NA,"Red","3","","Barbacenia gardneri"
"859","Velloziaceae","Barbacenia longiflora","85",63.03,NA,"Yellow","1","","Barbacenia longiflora"
"860","Gentianaceae","Calolisianthus pedunculatus","85",49.2,31,"Red","3","","Calolisianthus pulcherrimus"
"861","Lythraceae","Cuphea diosmifolia","85",6.7,NA,"Purple","1","","Cuphea diosmifolia"
"862","Lythraceae","Cuphea disperma","85",NA,48.33,"Pink","2","","Cuphea disperma"
"863","Polygalaceae","Caamembeca oleifolia","85",18.54,40.5,"Yellow","1","","Caamembeca oleifolia"
"864","Rubiaceae","Declieuxia fruticosa","85",NA,NA,"Violet","1","","Declieuxia fruticosa"
"865","Orobanchaceae","Esterhazya nanuzae","85",35.8,16.75,"Orange","3","","Esterhazya nanuzae"
"866","Lamiaceae","Hyptis passerina","85",19.9,26.16,"Purple","1","","Hyptis passerina"
"867","Asteraceae","Lepidaploa lilacina","85",7.09,41.12,"Violet","1","","Lepidaploa lilacina"
"868","Asteraceae","Lepidaploa rufogrisea","85",NA,NA,"Violet","1","","Lepidaploa rufogrisea"
"872","Asteraceae","Lychnophora pohlii","85",7.1,30.86,"Violet","1","","Lychnophora pohlii"
"874","Asteraceae","Lychnophora tomentosa","85",10.85,NA,"Violet","1","","Lychnophora tomentosa"
"875","Apocynaceae","Mandevilla pycnantha","85",19.9,NA,"Violet","1","","Mandevilla pycnantha"
"877","Fabaceae","Mimosa aurivillus","85",2.8,NA,"Yellow","1","","Mimosa aurivillus"
"878","Asteraceae","Minasia scapigera","85",NA,NA,"Purple","1","","Minasia scapigera"
"879","Lamiaceae","Oocephalus petraeus","85",NA,NA,"Violet","1","","Oocephalus petraeus"
"881","Asteraceae","Paralychnophora bicolor","85",NA,NA,"White","1","","Eremanthus bicolor"
"882","Malvaceae","Pavonia schwackei","85",12.45,NA,"Purple","1","","Pavonia schwackei"
"883","Orobanchaceae","Physocalyx major","85",24.9,23.83,"Red","3","","Physocalyx major"
"884","Asteraceae","Piptolepis imbricata","85",7.14,28.62,"Violet","1","","Piptolepis imbricata"
"885","Asteraceae","Proteopsis argentea","85",17.57,45.12,"Violet","1","","Proteopsis argentea"
"886","Acanthaceae","Ruellia densa","85",33.5,23.91,"Red","3","","Ruellia densa"
"887","Marcgraviaceae","Schwartzia adamantium","85",13.3,NA,"White","1","","Schwartzia adamantium"
"889","Rubiaceae","Tapanhuacanga laricoides","85",6.89,21.29,"Blue","1","","Psyllocarpus laricoides"
"891","Velloziaceae","Vellozia hirsuta","85",NA,NA,"Purple","1","","Vellozia hirsuta"
"892","Vochysiaceae","Vochysia discolor","85",15.6,46.21,"Yellow","1","","Vochysia discolor"
"894","Bromeliaceae","Billbergia porteana","86",NA,19.9,"Red/Yellow/Purple","2","","Billbergia porteana"
"895","Salicaceae","Casearia sylvestris","86",NA,NA,"White","1","","Casearia sylvestris"
"896","Bignoniaceae","Fridericia craterophora","86",NA,16.3,"Purple","1","","Fridericia craterophora"
"897","Fabaceae","Inga uraguensis","86",NA,16.7,"White","1","","Inga uruguensis"
"898","Bignoniaceae","Jacaranda caroba","86",NA,7.3,"Purple","1","","Jacaranda caroba"
"899","Malvaceae","Luehea grandiflora","86",NA,21,"White","1","","Luehea grandiflora"
"900","Euphorbiaceae","Mabea fistulifera","86",NA,17.2,"White/Yellow","1","","Mabea fistulifera"
"901","Sapindaceae","Serjania lethalis","86",NA,NA,"White","1","","Serjania lethalis"
"902","Styracaceae","Styrax camporum","86",NA,19.7,"White/Yellow","1","","Styrax camporum"
"903","Boraginaceae","Cordia alliodora","87",NA,NA,"White","1","","Cordia alliodora"
"904","Asteraceae","Critonia morifolia","87",NA,NA,"White","1","","Critonia morifolia"
"905","Fabaceae","Diphysa floribunda","87",NA,NA,"Yellow","1","","Diphysa floribunda"
"906","Fabaceae","Lonchocarpus guatemalensis","87",NA,NA,"Purple","1","","Lonchocarpus guatemalensis"
"907","Acanthaceae","Odontonema glabrum","87",NA,NA,"Red","3","","Odontonema glabrum"
"909","Cannabaceae","Trema micranthum","87",NA,NA,"White","1","","Trema micrantha"
"910","Malvaceae","Trichospermum mexicanum","87",NA,NA,"Purple","1","","Trichospermum mexicanum"
"911","Fabaceae","Calliandra magdalenae","88",NA,NA,"Red/White","2","","Calliandra magdalenae"
"912","Clethraceae","Clethra mexicana","88",NA,NA,"White","1","","Clethra mexicana"
"913","Lythraceae","Cuphea nitidula","88",NA,NA,"Purple","1","","Cuphea nitidula"
"914","Heliconiaceae","Heliconia collinsiana","88",NA,NA,"Orange/Red","3","","Heliconia collinsiana"
"915","Convolvulaceae","Ipomoea cholulensis","88",NA,NA,"Orange/Red","3","","Ipomoea cholulensis"
"916","Loranthaceae","Psittacanthus rhynchanthus","88",NA,NA,"Orange/Red","3","","Psittacanthus rhynchanthus"
"917","Rubiaceae","Psychotria costivenia","88",NA,NA,"White","1","","Psychotria costivenia"
"918","Rubiaceae","Rogiera cordata","88",NA,NA,"Red","3","","Rogiera cordata"
"921","Symplocaceae","Symplocos longipes","88",NA,NA,"White","1","","Symplocos longipes"
"922","Malvaceae","Triumfetta speciosa","88",NA,NA,"Yellow/Orange","2","","Triumfetta speciosa"
"923","Primulaceae","Ardisia nigrescens","89",NA,NA,"White","1","","Ardisia nigrescens"
"924","Orchidaceae","Arpophyllum giganteum","89",NA,NA,"Purple","1","","Arpophyllum giganteum"
"925","Campanulaceae","Centropogon grandidentatus","89",NA,NA,"Orange/Red","3","","Centropogon grandidentatus"
"926","Solanaceae","Cestrum aurantiacum","89",NA,NA,"Yellow","1","","Cestrum aurantiacum"
"927","Orchidaceae","Epidendrum radicans","89",NA,NA,"Orange/Red","3","","Epidendrum radicans"
"928","Ericaceae","Gaultheria acuminata","89",NA,11.2,"Pink","2","","Gaultheria acuminata"
"929","Malvaceae","Hibiscus uncinellus","89",NA,NA,"Red","3","","Hibiscus uncinellus"
"930","Bromeliaceae","Pitcairnia heterophylla","89",NA,NA,"Pink","2","","Pitcairnia heterophylla"
"931","Lamiaceae","Salvia urica","89",NA,NA,"Purple","1","","Salvia urica"
"932","Gesneriaceae","Solenophora glomerata","89",NA,NA,"Orange/Red","3","","Solenophora glomerata"
"933","Acanthaceae","Spathacanthus parviflorus","89",NA,NA,"White","1","","Spathacanthus parviflorus"
"934","Acanthaceae","Stenostephanus monolophus","89",NA,NA,"Red/White","2","","Stenostephanus monolophus"
"935","Styracaceae","Styrax glabrescens","89",NA,NA,"White","1","","Styrax glabrescens"
"936","Bromeliaceae","Tillandsia ponderosa","89",NA,NA,"Orane/Red/Purple","2","","Tillandsia ponderosa"
"937","Malvaceae","Chiranthodendron pentadactylon","90",45.45,0.86,"Orange/Red","3","","Chiranthodendron pentadactylon"
"938","Passifloraceae","Passiflora membranacea","90",50.6,7.8,"White/Purple","1","","Passiflora membranacea"
"939","Lamiaceae","Salvia cinnabarina","90",32.2,6.8,"Red","3","","Salvia cinnabarina"
"940","Bromeliaceae","Tillandsia vicentina","90",NA,NA,"Orane/Red/Purple","2","","Tillandsia vicentina"
"941","Bromeliaceae","Canistrum terminalis","91",29.6,30.3,"Red/Yellow","2","","Canistrum terminalis"
"942","Rubiaceae","Manettia gracilis","91",NA,NA,"Red","3","","Manettia gracilis"
"943","Rubiaceae","Psychotria nemorosa","91",11.9,25.5,"White","1","","Psychotria nemorosa"
"944","Bromeliaceae","Quesnelia marmorata","91",25.1,28.5,"Blue/Pink","1","","Quesnelia marmorata"
"945","Bromeliaceae","Vriesea scalaris","91",NA,NA,"Red/Yellow","2","","Vriesea scalaris"
"946","Bromeliaceae","Edmundoa ambigua","92",NA,NA,"Yellow/Red","2","","Canistrum ambiguum"
"947","Acanthaceae","Justicia floribunda","92",NA,NA,"Red/Yellow","2","","Justicia floribunda"
"948","Asteraceae","Mutisia campanulata","92",NA,NA,"Red","3","","Mutisia campanulata"
"949","Bromeliaceae","Nidularium angustibracteatum","92",43.2,30.2,"White/Red","2","","Nidularium angustibracteatum"
"950","Lamiaceae","Salvia balaustina","92",36.6,22.5,"Red","3","","Salvia balaustina"
"952","Fabaceae","Pictetia Aculeata","93",8.12,55.28,"Yellow","1","","Pictetia Aculeata"
"953","Rubiaceae","Randia aculeata","93",4.93,60.46,"White","1","","Randia aculeata"
"954","Fabaceae","Vachellia anegadensis","93",1.58,72.58,"Yellow","1","","Acacia anegadensis"
"955","Verbenaceae","Lantana trifolia","94",NA,33.69,"Pink, and young flowers have yellow in the middle","2","","Lantana trifolia"
"956","Bromeliaceae","Tillandsia variabilis","94",NA,23.37,"Purple flowers, bracts red","2","","Tillandsia variabilis"
"957","Verbenaceae","Petrea volubilis","95",5.48,NA,"Purple","1","","Petrea volubilis"
"958","Fabaceae","Vachellia macracantha","95",NA,NA,"Yellow","1","","Vachellia macracantha"
"959","Fabaceae","Calliandra purpurea","96",8.94,18.83,"Red","3","","Calliandra purpurea"
"960","Verbenaceae","Lippia micromera","96",3.62,33.67,"White/Yellow","1","","Lantana sp"
"961","Marcgraviaceae","Marcgravia umbellata","96",32.5,NA,"White/Green","1","","Magravea sp"
"962","Bromeliaceae","Pitcairnia micotrinensis","96",29.4,NA,"White","1","","Boiling lake flower"
"963","Campanulaceae","Lobelia persicifolia","98",27.14,11,"Orange","3","","Lobelia persicifolia"
"964","Melastomataceae","Miconia corymbosa","99",4.82,NA,"Red/Pink","3","","Miconia corymbosa"
"965","Bromeliaceae","Pitcairnia angustifolia","100",22.4,NA,"Red","3","","Bromelia sp"
"966","Gesneriaceae","Gesneria ventricosa","101",28.8,21,"Orange","3","","Gesneria ventricosa"
"967","Convolvulaceae","Ipomoea sphenophylla","103",NA,NA,"Purple/Pink","1","","Ipomoea sphenophylla"
"968","Bromeliaceae","Guzmania gloriosa"," 77, 76, 83",44.43,NA,"","","",""
"969","Lamiaceae","Salvia melissodora"," 79, 80",6.08,NA,"Blue-Violet, Blue-Violet","1, 1","","Salvia melissodora"
"970","Orobanchaceae","Castilleja miniata","1, 2",29.37,NA,"Red, Red","3, 3","","Castilleja miniata"
"971","Loranthaceae","Psittacanthus calyculatus","11, 80",13.3,24.2,"Flower color changes from light yellowish to bright red, Orange/Red/Yellow","3, 2","","Psittacanthus calyculatus"
"972","Plantaginaceae","Penstemon roseus","12, 11",31.9,21.5,"Red, Red","3, 3","","Penstemon roseus"
"973","Onagraceae","Fuchsia microphylla","12, 24, 25",7.8,21.7,"Red/Crimson, Red/Crimson, Red/Purple","3, 3, 2","","Fuchsia microphylla"
"974","Plantaginaceae","Penstemon gentianoides","12, 4",32.6,23.2,"Blue or Violet or Purple","1","","Penstemon gentianoides"
"975","Rubiaceae","Schradera exotica","14, 16, 18, 96, 97",11.67,25.97,"White, White, White, White, White","1, 1, 1, 1, 1","","Schradera exotica"
"976","Rubiaceae","Palicourea crocea","14, 19, 20, 39, 86, 96, 99, 100, 105",13.5,20.18,"Yellow flowers with red stems, Yellow flowers with red stems, Red, Red, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow","2, 2, 3, 3, 2, 2, 2, 2, 2","","Palicourea crocea"
"977","Bignoniaceae","Tabebuia heterophylla","15, 17, 93",36.17,38.92,"White-pink flowers with yellow inside center, White-pink flowers with yellow inside center, White-pink flowers with yellow inside center","2, 2, 2","","Tabebuia heterophylla"
"978","Cactaceae","Melocactus intortus","15, 93",18.98,21.2,"Pink, Pink","2, 2","","Melocactus intortus"
"979","Cactaceae","Pilosocereus polygonus","15, 93",48.8,15.9,"White, with greenish outside","","",""
"980","Verbenaceae","Stachytarpheta urticifolia","16, 18",9.3,26.55,"Blue/Purple, Blue/Purple","1, 1","","Stachytarpheta urticifolia"
"981","Heliconiaceae","Heliconia bihai","16, 19, 20, 96, 97, 98, 99, 105",37.23,28.77,"Red, White/green flowers, but the floral display is the bracts which are red and yellow, Red, Red, Red, Red, Red","3, 2, 2, 3, 3, 3, 3, 3","","Heliconia bihai"
"982","Rubiaceae","Psychotria urbaniana","16, 96",10.59,30,"White/Blue, White/Blue","1, 1 ","","Psychotria urbaniana"
"983","Zingiberaceae","Renealmia pyramidalis","16, 96",15.6,30.81,"White/Pink, White/Pink","1, 1","","Renealmia pyramidalis"
"984","Ericaceae","Vaccinium racemosum","16, 96",8.82,22.6,"Green, Green","1, 1","","Vaccinium racemosum"
"985","Melastomataceae","Miconia purpurea","16, 96, 100, 101",8.58,11.18,"Red, Red, Red, Red","3, 3, 3, 3","","Miconia purpurea"
"986","Lamiaceae","Hyptis atrorubens","16, 96, 99",5.32,18.04,"White with pink spots at lower entrance, White, White","1, 1, 1","","Hyptis atrorubens"
"987","Bignoniaceae","Tecoma stans","17, 87",27,23.8,"Yellow with small red stripes in tube, Yellow","1, 1","","Tecoma stans"
"988","Verbenaceae","Stachytarpheta jamaicensis","17, 94",9.47,33.54,"Blue, Blue","1, 1","","Stachytarpheta jamaicensis"
"989","Rubiaceae","Gonzalagunia hirsuta","18, 19, 20, 99",11.01,23.55,"White, White, White, White","1, 1, 1, 1","","Gonzalagunia hirsuta"
"990","Melastomataceae","Miconia grenadensis","18, 96",11.34,12.5,"Red, Red","3, 3 ","","Charianthus grenadensis"
"991","Campanulaceae","Lobelia cirsiifolia","18, 97",11.56,11.6,"Green/White/Reddish, Green","1,  1","","Lobelia cirsiifolia"
"992","Campanulaceae","Centropogon cornutus","19, 20, 28, 30, 44, 47, 62, 63, 65, 66, 91, 106, 105",40.62,24.05,"Red, Red, Red, Pink, Pink, Pink, Pink, Pink, Pink, Pink/Red, Red, Red","3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3","","Centropogon cornutus"
"993","Costaceae","Costus scaber","19, 21, 34, 39",32.64,23.77,"Orange/Red, Red, Orange/Red, White/Red","3, 3, 3, 2","","Costus scaber"
"994","Acanthaceae","Dianthera secunda","19, 81",21.05,24.6,"Red","3","","Justicia secunda"
"995","Bromeliaceae","Guzmania monostachia","20, 21",13,NA,"Red/White","2","","Guzmania monostachia"
"996","Rubiaceae","Warszewiczia coccinea","20, 21, 75",7.77,NA,"Red, Orange/Red, Red/Yellow","3, 3, 3","","Warszewiczia coccinea"
"997","Fabaceae","Inga ingoides","20, 28, 30",19.1,18.6,"White, White, White","1, 1, 1","","Inga ingoides"
"998","Clusiaceae","Symphonia globulifera","20, 34",7.6,8.4,"Red, Red","3, 3 ","","Symphonia globulifera"
"999","Fabaceae","Erythrina fusca","20, 39",15,15.2,"Orange","3","","Erythrina fusca"
"1000","Cucurbitaceae","Gurania lobata","20, 39",17.5,16.9,"Orange, Orange/Yellow","3, 2","","Gurania lobata"
"1001","Costaceae","Costus spiralis","20, 39, 47, 51, 52, 65, 68, 70, 91",44.24,17.75,"Red, Red, Red, Red, White, Red, Red, Pink","3, 3, 3, 3, 1, 3, 3, 2, 2","","Costus spiralis"
"1002","Heliconiaceae","Heliconia hirsuta","20, 42",32.65,NA,"Red, Yellow/Red","3, 2 ","","Heliconia hirsuta"
"1003","Bromeliaceae","Vriesea procera","20, 47, 53, 63, 65, 66, 91",35.85,27.88,"Yellow, Red/Green, Red/Green, Green, Yellow/Green, Red/Yellow","1, 2, 2, 1, 1, 2","","Vriesea procera"
"1004","Apocynaceae","Mandevilla hirsuta","20, 52",46,34.3,"Red/Yellow, Yellow","2, 1","","Mandevilla hirsuta"
"1005","Heliconiaceae","Heliconia psittacorum","20, 52, 86",20.1,22.57,"Orange, Orange, Orange","3, 3, 3","","Heliconia psittacorum"
"1006","Bromeliaceae","Aechmea nudicaulis","20, 59, 60, 61, 62, 65, 66, 68, 69, 70, 74, 91",14.42,24.63,"Red, Yellow/Green, Yellow/Red, Red/Yellow, Red/Yellow, Yellow/Red, Yellow/Pink, Red/Yellow, Red/Yellow, Red/Yellow, Yellow","3, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1","","Aechmea nudicaulis"
"1007","Rubiaceae","Palicourea elata","21, 22",20.45,19.08,"Red/White","2","","Psychotria elata"
"1008","Costaceae","Costus pulverulentus","21, 22, 84",72.75,12.67,"Red, Orange/Yellow, Orange/Red","3, 2, 3","","Costus pulverulentus"
"1009","Zingiberaceae","Renealmia cernua","21, 22, 84",21.25,NA,"Orange/Yellow, Orange/Yellow, Orange","2, 2, 3","","Renealmia cernua"
"1010","Heliconiaceae","Heliconia latispatha","21, 28, 30, 84",40.95,27.11,"Pale green/Orange, Pale green/Orange, Orange, Pale green/Orange","2, 2, 3, 3","","Heliconia latispatha"
"1011","Rubiaceae","Palicourea tomentosa","21, 34, 51, 75",16.56,19.32,"Yellow/Red, Yellow, Red/White, Red/White","2, 1, 2, 2","","Psychotria poeppigiana"
"1012","Marantaceae","Calathea lutea","21, 84",42.2,NA,"","","",""
"1013","Bromeliaceae","Werauhia ororiensis","23, 24, 25",31.9,NA,"Bracts and rachis red and corolla green, Bracts and rachis red and corolla green, White","2, 2, 1","","Vriesea ororiensis"
"1014","Ericaceae","Cavendishia bracteata","23, 24, 25, 27, 29, 30, 31, 32, 37, 75, 76, 77, 83, 89",22.21,17.7,"Red/Pink, Red/White, Red/White, Pink/White, Pink/White, Pink, Pink, Pink, Pink, Pink/Red, Pink, Pink/White, Pink/White","2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1","","Cavendishia bracteata"
"1015","Gesneriaceae","Besleria solanoides","23, 30, 35, 83, 82",15.5,16.54,"Orange, Orange, Orange, Orange","3, 3, 3, 3","","Besleria solanoides"
"1016","Orchidaceae","Elleanthus aurantiacus","23, 30, 83, 31",14.13,10.61,"Orange, Orange, Orange, Orange","3, 3, 3, 3","","Elleanthus aurantiacus"
