"","species","genus","family","species.relative","genus.relative","status"
"919","Mendoncia_coccinea","Mendoncia","Acanthaceae","","","bind"
"920","Heliconia_angusta","Heliconia","Heliconiaceae","","","prune"
"921","Fridericia_speciosa","Fridericia","Bignoniaceae","","","bind"
"922","Tillandsia_stricta","Tillandsia","Bromeliaceae","","","prune"
"923","Cylindropuntia_imbricata","Cylindropuntia","Cactaceae","","","prune"
"924","Nematanthus_fornix","Nematanthus","Gesneriaceae","","","prune"
"925","Fuchsia_regia","Fuchsia","Onagraceae","","","bind"
"926","Billbergia_distachya","Billbergia","Bromeliaceae","","","prune"
"927","Aechmea_van-houtteana","Aechmea","Bromeliaceae","","","prune"
"928","Siphocampylus_longipedunculatus","Siphocampylus","Campanulaceae","","","bind"
"929","Sinningia_cooperi","Sinningia","Gesneriaceae","","","prune"
"930","Bomarea_edulis","Bomarea","Alstroemeriaceae","","","prune"
"931","Salvia_sellowiana","Salvia","Lamiaceae","","","bind"
"932","Aechmea_distichantha","Aechmea","Bromeliaceae","","","prune"
"933","Alstroemeria_inodora","Alstroemeria","Alstroemeriaceae","","","prune"
"934","Buddleja_stachyoides","Buddleja","Scrophulariaceae","","","bind"
"935","Wittrockia_cyathiformis","Wittrockia","Bromeliaceae","","","bind"
"936","Sinningia_douglasii","Sinningia","Gesneriaceae","","","prune"
"937","Betencourtia_scarlatina","Betencourtia","Fabaceae","","","bind"
"938","Collaea_speciosa","Collaea","Fabaceae","","","bind"
"939","Nidularium_marigoi","Nidularium","Bromeliaceae","","","bind"
"940","Siphocampylus_sulfureus","Siphocampylus","Campanulaceae","","","bind"
"941","Canna_paniculata","Canna","Cannaceae","","","prune"
"942","Besleria_longimucronata","Besleria","Gesneriaceae","","","bind"
"943","Tillandsia_geminiflora","Tillandsia","Bromeliaceae","","","prune"
"944","Nidularium_innocentii","Nidularium","Bromeliaceae","","","prune"
"945","Nematanthus_fluminensis","Nematanthus","Gesneriaceae","","","prune"
"946","Psittacanthus_dichrous","Psittacanthus","Loranthaceae","","","bind"
"947","Nidularium_procerum","Nidularium","Bromeliaceae","","","prune"
"948","Nematanthus_gregarius","Nematanthus","Gesneriaceae","","","prune"
"949","Vriesea_incurvata","Vriesea","Bromeliaceae","","","prune"
"950","Nematanthus_fritschii","Nematanthus","Gesneriaceae","","","prune"
"951","Hohenbergia_augusta","Hohenbergia","Bromeliaceae","","","bind"
"952","Spirotheca_rivieri","Spirotheca","Malvaceae","","","bind"
"953","Aechmea_organensis","Aechmea","Bromeliaceae","","","prune"
"954","Vriesea_erythrodactylon","Vriesea","Bromeliaceae","","","prune"
"955","Justicia_brasiliana","Justicia","Acanthaceae","","","bind"
"956","Callianthe_rufinerva","Callianthe","Malvaceae","","","bind"
"957","Nematanthus_sericeus","Nematanthus","Gesneriaceae","","","prune"
"958","Inga_marginata","Inga","Fabaceae","","","bind"
"959","Psychotria_nuda","Psychotria","Rubiaceae","","","bind"
"960","Vriesea_rodigasiana","Vriesea","Bromeliaceae","","","bind"
"961","Dahlstedtia_pinnata","Dahlstedtia","Fabaceae","","","prune"
"962","Heliconia_farinosa","Heliconia","Heliconiaceae","","","bind"
"963","Neoregelia_johannis","Neoregelia","Bromeliaceae","","","bind"
"964","Sabicea_grisea","Sabicea","Rubiaceae","","","bind"
"965","Heliconia_spathocircinata","Heliconia","Heliconiaceae","","","bind"
"966","Stachytarpheta_cayennensis","Stachytarpheta","Verbenaceae","","","prune"
"967","Iochroma_arborescens","Iochroma","Solanaceae","","","bind"
"968","Canistropsis_seidelii","Canistropsis","Bromeliaceae","","","bind"
"969","Justicia_carnea","Justicia","Acanthaceae","","","bind"
"970","Aechmea_pectinata","Aechmea","Bromeliaceae","","","prune"
"971","Schwartzia_brasiliensis","Schwartzia","Marcgraviaceae","","","bind"
"972","Eriotheca_pentaphylla","Eriotheca","Malvaceae","","","prune"
"973","Inga_edulis","Inga","Fabaceae","","","prune"
"974","Hibiscus_tiliaceus","Hibiscus","Malvaceae","","","bind"
"975","Billbergia_pyramidalis","Billbergia","Bromeliaceae","","","prune"
"976","Aechmea_coelestis","Aechmea","Bromeliaceae","","","prune"
"977","Bromelia_antiacantha","Bromelia","Bromeliaceae","","","prune"
"978","Nematanthus_fissus","Nematanthus","Gesneriaceae","","","prune"
"979","Vriesea_vagans","Vriesea","Bromeliaceae","","","prune"
"980","Vriesea_philippocoburgii","Vriesea","Bromeliaceae","","","bind"
"981","Quesnelia_arvensis","Quesnelia","Bromeliaceae","","","prune"
"982","Quesnelia_humilis","Quesnelia","Bromeliaceae","","","bind"
"983","Vriesea_flammea","Vriesea","Bromeliaceae","","","bind"
"984","Castilleja_tenuiflora","Castilleja","Orobanchaceae","","","bind"
"985","Penstemon_barbatus","Penstemon","Plantaginaceae","","","prune"
"986","Loeselia_mexicana","Loeselia","Polemoniaceae","","","prune"
"987","Psychotria_suterella","Psychotria","Rubiaceae","","","bind"
"988","Schizolobium_parahyba","Schizolobium","Fabaceae","","","prune"
"989","Aegiphila_obducta","Aegiphila","Lamiaceae","","","bind"
"990","Vriesea_altodaserrae","Vriesea","Bromeliaceae","","","bind"
"991","Nematanthus_australis","Nematanthus","Gesneriaceae","","","prune"
"992","Ipomoea_murucoides","Ipomoea","Convolvulaceae","","","bind"
"993","Opuntia_tomentosa","Opuntia","Cactaceae","","","prune"
"994","Dianthera_candicans","Dianthera","Acanthaceae","","","bind"
"995","Burmeistera_multiflora","Burmeistera","Campanulaceae","","","bind"
"996","Columnea_mastersonii","Columnea","Gesneriaceae","","","bind"
"997","Columnea_picta","Columnea","Gesneriaceae","","","bind"
"998","Drymonia_tenuis","Drymonia","Gesneriaceae","","","bind"
"999","Drymonia_teuscheri","Drymonia","Gesneriaceae","","","bind"
"1000","Gasteranthus_quitensis","Gasteranthus","Gesneriaceae","","","prune"
"1001","Guzmania_amplectens","Guzmania","Bromeliaceae","","","bind"
"1002","Heliconia_impudica","Heliconia","Heliconiaceae","","","bind"
"1003","Gasteranthus_pansamalanus","Gasteranthus","Gesneriaceae","","","bind"
"1004","Cipuropsis_capituligera","Cipuropsis","Bromeliaceae","","","bind"
"1005","Palicourea_cuatrecasasii","Palicourea","Rubiaceae","","","bind"
"1006","Meriania_tomentosa","Meriania","Melastomataceae","","","prune"
"1007","Arachnothryx_gonzaleoides","Arachnothryx","Rubiaceae","","","bind"
"1008","Erythrina_chiapasana","Erythrina","Fabaceae","","","bind"
"1009","Ipomoea_tricolor","Ipomoea","Convolvulaceae","","","bind"
"1010","Russelia_sarmentosa","Russelia","Plantaginaceae","","","bind"
"1011","Serjania_mexicana","Serjania","Sapindaceae","","","bind"
"1012","Triplaris_americana","Triplaris","Polygonaceae","","","prune"
"1013","Salvia_tonalensis","Salvia","Lamiaceae","","","bind"
"1014","Fuchsia_paniculata","Fuchsia","Onagraceae","","","prune"
"1015","Wigandia_urens","Wigandia","Boraginaceae","","","prune"
"1016","Heliconia_adflexa","Heliconia","Heliconiaceae","","","bind"
"1017","Rovaeanthus_strigosus","Rovaeanthus","Rubiaceae","","","prune"
"1018","Saurauia_scabrida","Saurauia","Actinidiaceae","","","prune"
"1019","Tillandsia_guatemalensis","Tillandsia","Bromeliaceae","","","prune"
"1020","Palicourea_padifolia","Palicourea","Rubiaceae","","","bind"
"1021","Tillandsia_deppeana","Tillandsia","Bromeliaceae","","","bind"
"1022","Lobelia_laxiflora","Lobelia","Campanulaceae","","","prune"
"1023","Moussonia_deppeana","Moussonia","Gesneriaceae","","","prune"
"1024","Hamelia_patens","Hamelia","Rubiaceae","","","prune"
"1025","Ernodea_littoralis","Ernodea","Rubiaceae","","","prune"
"1026","Notopleura_parasitica","Notopleura","Rubiaceae","","","bind"
"1027","Ruellia_simplex","Ruellia","Acanthaceae","","","prune"
"1028","Crantzia_cristata","Crantzia","Gesneriaceae","","","bind"
"1029","Heliconia_caribaea","Heliconia","Heliconiaceae","","","prune"
"1030","Besleria_lutea","Besleria","Gesneriaceae","","","bind"
